frame = 21769	 simulation time = 435.36	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21770	 simulation time = 435.38	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21771	 simulation time = 435.40	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21772	 simulation time = 435.42	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21773	 simulation time = 435.44	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21774	 simulation time = 435.46	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21775	 simulation time = 435.48	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21776	 simulation time = 435.50	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21777	 simulation time = 435.52	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21778	 simulation time = 435.54	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21779	 simulation time = 435.56	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21780	 simulation time = 435.58	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21781	 simulation time = 435.60	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21782	 simulation time = 435.62	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21783	 simulation time = 435.64	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21784	 simulation time = 435.66	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21785	 simulation time = 435.68	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21786	 simulation time = 435.70	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21787	 simulation time = 435.72	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21788	 simulation time = 435.74	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21789	 simulation time = 435.76	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21790	 simulation time = 435.78	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21791	 simulation time = 435.80	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21792	 simulation time = 435.82	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
